Country,Time,Value
Kuwait,2019,0.19146
Kuwait,2020,0.18661
Kuwait,2022,0.07964
Kyrgyzstan,2016,0.11121
Kyrgyzstan,2017,0.10707
Kyrgyzstan,2018,0.10107
Kyrgyzstan,2019,0.09016
Kyrgyzstan,2020,0.08881
Kyrgyzstan,2021,0.07515
Kyrgyzstan,2022,0.07685
Latin America and the Caribbean,2016,0.64618
Latin America and the Caribbean,2016,0.64641
Latin America and the Caribbean,2017,0.57879
Latin America and the Caribbean,2017,0.57897
Latin America and the Caribbean,2018,0.58794
Latin America and the Caribbean,2018,0.58812
Latin America and the Caribbean,2019,0.59507
Latin America and the Caribbean,2019,0.59524
Latin America and the Caribbean,2020,0.58963
Latin America and the Caribbean,2020,0.58982
Latin America and the Caribbean,2021,0.54823
Latin America and the Caribbean,2021,0.54837
Latvia,2016,0.43514
Latvia,2017,0.51104
Latvia,2018,0.63869
Latvia,2019,0.63627
Latvia,2020,0.72991
Latvia,2021,0.74092
Least Developed Countries,2016,0.26796
Least Developed Countries,2017,0.2648
Least Developed Countries,2018,0.26136
Least Developed Countries,2019,0.2608
Least Developed Countries,2020,0.26877
Least Developed Countries,2021,0.27132
Lithuania,2016,0.84241
Lithuania,2017,0.89626
Lithuania,2018,0.93662
Lithuania,2019,0.99353
Lithuania,2020,1.13361
Lithuania,2021,1.11075
Luxembourg,2016,1.2669
Luxembourg,2017,1.23898
Luxembourg,2018,1.1718
Luxembourg,2019,1.18287
Luxembourg,2020,1.0915
Luxembourg,2021,1.04215
Madagascar,2016,0.01264
Madagascar,2017,0.01275
Malaysia,2016,1.41517
Malaysia,2018,1.04026
Malaysia,2020,0.95088
Mali,2017,0.29198
Mali,2019,0.15768
Mali,2021,0.17385
Malta,2016,0.55689
Malta,2017,0.55212
Malta,2018,0.57609
Malta,2019,0.56427
Malta,2020,0.65441
Malta,2021,0.66603
Mauritania,2018,0.01019
Mauritius,2017,0.35423
Mauritius,2018,0.33387
Mauritius,2019,0.35699
Mauritius,2020,0.40324
Mauritius,2021,0.36809
Mauritius,2022,0.30901
Mexico,2016,0.38778
Mexico,2017,0.32832
Mexico,2018,0.30643
Mexico,2019,0.28394
Mexico,2020,0.30003
Mexico,2021,0.28243
Mexico,2022,0.26855
Mongolia,2016,0.18345
Mongolia,2017,0.1342
Mongolia,2018,0.10161
Mongolia,2019,0.0927
Mongolia,2020,0.13301
Mongolia,2021,0.10008
Mongolia,2022,0.08521
Montenegro,2016,0.32454
Montenegro,2017,0.34898
Montenegro,2018,0.50374
Montenegro,2019,0.36328
Myanmar,2017,0.03484
Myanmar,2018,0.06354
Myanmar,2019,0.08926
Myanmar,2020,0.14897
Myanmar,2021,0.14506
Myanmar,2022,0.03994
Netherlands,2016,2.15081
Netherlands,2017,2.17857
Netherlands,2018,2.1388
Netherlands,2019,2.18435
Netherlands,2020,2.32182
Netherlands,2021,2.30886
New Zealand,2017,1.34912
New Zealand,2019,1.40641
New Zealand,2021,1.45475
Nigeria,2019,0.28444
North Macedonia,2016,0.43585
North Macedonia,2017,0.35439
North Macedonia,2018,0.36367
North Macedonia,2019,0.36783
North Macedonia,2020,0.37264
North Macedonia,2021,0.37719
North Macedonia,2022,0.38373
Northern America ,2016,2.76026
Northern America ,2017,2.8025
Northern America ,2018,2.9041
Northern America ,2019,3.05584
Northern America ,2020,3.34354
Northern America ,2021,3.31563
Norway,2016,2.03287
Norway,2017,2.08167
Norway,2018,2.03482
Norway,2019,2.136
Norway,2020,2.24436
Norway,2021,1.93798
Oman,2016,0.22691
Oman,2017,0.19925
Oman,2018,0.19031
Oman,2019,0.27255
Oman,2020,0.31599
Oman,2021,0.28978
Oman,2022,0.27506
Pakistan,2017,0.21214
Pakistan,2019,0.17475
Pakistan,2021,0.16443
Panama,2016,0.1324
Panama,2017,0.1353
Panama,2018,0.13359
Panama,2019,0.13624
Panama,2020,0.23235
Panama,2021,0.17688
Panama,2022,0.18243
Papua New Guinea,2016,0.03158
Paraguay,2016,0.11676
Paraguay,2017,0.14888
Paraguay,2018,0.14684
Paraguay,2019,0.13751
Paraguay,2020,0.15697
Paraguay,2021,0.14398
Peru,2016,0.12008
Peru,2017,0.12085
Peru,2018,0.12683
Peru,2019,0.15696
Peru,2020,0.17183
Peru,2021,0.13915
Peru,2022,0.16435
Philippines,2018,0.32222
Poland,2016,0.96821
Poland,2017,1.03785
Poland,2018,1.2061
Poland,2019,1.32335
Poland,2020,1.38608
Poland,2021,1.43585
Portugal,2016,1.28075
Portugal,2017,1.31928
Portugal,2018,1.34955
Portugal,2019,1.39562
Portugal,2020,1.61392
Portugal,2021,1.68072
Portugal,2022,1.72783
Qatar,2018,0.53129
Qatar,2021,0.68078
South Korea,2016,3.98704
South Korea,2017,4.29206
South Korea,2018,4.51633
South Korea,2019,4.62703
South Korea,2020,4.79571
South Korea,2021,4.93012
Republic of Moldova,2016,0.28004
Republic of Moldova,2017,0.25789
Republic of Moldova,2018,0.25626
Republic of Moldova,2019,0.24145
Republic of Moldova,2020,0.23511
Republic of Moldova,2021,0.23154
Republic of Moldova,2022,0.23122
Romania,2016,0.48864
Romania,2017,0.50693
Romania,2018,0.49729
Romania,2019,0.47616
Romania,2020,0.46538
Romania,2021,0.47302
Russia,2016,1.10238
Russia,2017,1.10967
Russia,2018,0.99002
Russia,2019,1.03531
Russia,2020,1.09099
Russia,2021,0.96197
Russia,2022,0.93584
Rwanda,2016,0.64944
Rwanda,2019,0.75873
Saudi Arabia,2020,0.49802
Saudi Arabia,2021,0.4455
Saudi Arabia,2022,0.46335
Serbia,2016,0.83822
Serbia,2017,0.87238
Serbia,2018,0.91891
Serbia,2019,0.88667
Serbia,2020,0.90558
Serbia,2021,0.99409
Serbia,2022,0.9671
Seychelles,2016,0.21685
Singapore,2016,2.07291
Singapore,2017,1.89905
Singapore,2018,1.80958
Singapore,2019,1.88506
Singapore,2020,2.16305
Slovakia,2016,0.78857
Slovakia,2017,0.88456
Slovakia,2018,0.83555
Slovakia,2019,0.82241
Slovakia,2020,0.89781
Slovakia,2021,0.91539
Slovenia,2016,2.00764
Slovenia,2017,1.8653
Slovenia,2018,1.94594
Slovenia,2019,2.04128
Slovenia,2020,2.14266
Slovenia,2021,2.13088
South Africa,2016,0.74992
South Africa,2017,0.76257
South Africa,2018,0.68773
South Africa,2019,0.6143
South Africa,2020,0.6036
Spain,2016,1.18986
Spain,2017,1.20977
Spain,2018,1.24151
Spain,2019,1.25025
Spain,2020,1.41039
Spain,2021,1.42929
Sri Lanka,2016,0.12034
Sri Lanka,2017,0.11818
Sri Lanka,2018,0.11949
Sri Lanka,2020,0.11597
Sweden,2016,3.24736
Sweden,2017,3.36279
Sweden,2018,3.32106
Sweden,2019,3.38758
Sweden,2020,3.4896
Sweden,2021,3.41743
Switzerland,2017,3.07698
Switzerland,2019,3.1968
Switzerland,2021,3.35918
Tajikistan,2016,0.10622
Tajikistan,2017,0.10957
Tajikistan,2018,0.09401
Tajikistan,2019,0.09367
Tajikistan,2020,0.08969
Thailand,2016,0.77829
Thailand,2017,1.00166
Thailand,2018,1.11374
Thailand,2019,1.14317
Thailand,2020,1.32819
Thailand,2021,1.20972
Trinidad and Tobago,2016,0.08709
Trinidad and Tobago,2017,0.08606
Trinidad and Tobago,2018,0.08222
Trinidad and Tobago,2019,0.05941
Trinidad and Tobago,2020,0.06434
Trinidad and Tobago,2021,0.05382
Tunisia,2016,0.56539
Tunisia,2017,0.69954
Tunisia,2018,0.71645
Tunisia,2019,0.74658
Türkiye,2016,1.11979
Türkiye,2017,1.17632
Türkiye,2018,1.27174
Türkiye,2019,1.32146
Türkiye,2020,1.36757
Türkiye,2021,1.40352
Ukraine,2016,0.48339
Ukraine,2017,0.44879
Ukraine,2018,0.47113
Ukraine,2019,0.43384
Ukraine,2020,0.40318
Ukraine,2021,0.3769
Ukraine,2022,0.32696
United Arab Emirates,2016,0.9318
United Arab Emirates,2018,1.26389
United Arab Emirates,2019,1.31065
United Arab Emirates,2020,1.48831
United Arab Emirates,2021,1.49525
United Kingdom of Great Britain and Northern Ireland,2016,2.31145
United Kingdom of Great Britain and Northern Ireland,2017,2.3232
United Kingdom of Great Britain and Northern Ireland,2018,2.70482
United Kingdom of Great Britain and Northern Ireland,2019,2.66552
United Kingdom of Great Britain and Northern Ireland,2020,2.93144
United Kingdom of Great Britain and Northern Ireland,2021,2.91476
United States of America,2016,2.8535
United States of America,2017,2.90432
United States of America,2018,3.0101
United States of America,2019,3.17049
United States of America,2020,3.46777
United States of America,2021,3.45705
Uruguay,2016,0.37391
Uruguay,2017,0.44052
Uruguay,2018,0.50594
Uruguay,2019,0.42667
Uruguay,2020,0.44662
Uruguay,2021,0.42035
Uzbekistan,2016,0.17238
Uzbekistan,2017,0.14834
Uzbekistan,2018,0.12394
Uzbekistan,2019,0.11306
Uzbekistan,2020,0.1385
Uzbekistan,2021,0.1316
Uzbekistan,2022,0.16022
Venezuela (Bolivarian Republic of),2016,0.69
Viet Nam,2017,0.41895
Viet Nam,2019,0.41652
Viet Nam,2021,0.42533
