Country,Country Code,2022 [YR2022],Classification
Liechtenstein,LIE,1.64433610439301,Upper Income
Lithuania,LTU,0.653739511966705,Upper Income
Luxembourg,LUX,1.06388890743256,Upper Income
Madagascar,MDG,-0.531038582324982,Lower Income
Malawi,MWI,-0.152863919734955,Lower Income
Malaysia,MYS,0.140358164906502,Lower Income
Maldives,MDV,0.667752325534821,Lower Income
Mali,MLI,-2.47940897941589,Lower Income
Malta,MLT,0.913422584533691,Upper Income
Marshall Islands,MHL,1.05626726150513,Lower Income
Mauritania,MRT,-0.507473766803741,Lower Income
Mauritius,MUS,0.835721731185913,Lower Income
Mexico,MEX,-0.691959738731384,Lower Income
Micronesia,FSM,1.21048414707184,Lower Income
Moldova,MDA,-0.668324410915375,Lower Income
Monaco,MCO,1.20484304428101,Lower Income
Mongolia,MNG,0.533999085426331,Lower Income
Montenegro,MNE,-0.0591769814491272,Lower Income
Morocco,MAR,-0.319889187812805,Lower Income
Mozambique,MOZ,-1.28796994686127,Lower Income
Myanmar,MMR,-2.21174263954163,Lower Income
Nauru,NRU,0.880902826786041,Upper Income
Nepal,NPL,-0.251907497644424,Lower Income
Netherlands,NLD,0.717304825782776,Upper Income
New Zealand,NZL,1.31238234043121,Upper Income
Nicaragua,NIC,-0.34842848777771,Lower Income
Niger,NER,-1.47217929363251,Lower Income
Nigeria,NGA,-1.79814147949219,Lower Income
North Macedonia,MKD,0.11759065836668,Lower Income
Norway,NOR,0.860958337783813,Upper Income
Oman,OMN,0.529911398887634,Upper Income
Pakistan,PAK,-1.90026199817657,Lower Income
Palau,PLW,1.09686291217804,Upper Income
Panama,PAN,0.297832071781158,Upper Income
Papua New Guinea,PNG,-0.609061777591705,Lower Income
Paraguay,PRY,0.0359779521822929,Lower Income
Peru,PER,-0.446338385343552,Lower Income
Philippines,PHL,-0.712976396083832,Lower Income
Poland,POL,0.500283241271973,Upper Income
Portugal,PRT,0.860719680786133,Upper Income
Qatar,QAT,0.958558142185211,Upper Income
Romania,ROU,0.488021969795227,Upper Income
Russia,RUS,-0.918995440006256,Upper Income
Rwanda,RWA,0.0305139776319265,Lower Income
Samoa,WSM,1.07860910892487,Lower Income
San Marino,SMR,1.20484304428101,Upper Income
Sao Tome and Principe,STP,0.607801914215088,Lower Income
Saudi Arabia,SAU,-0.362989008426666,Upper Income
Senegal,SEN,-0.15329946577549,Lower Income
Serbia,SRB,-0.172904297709465,Lower Income
Seychelles,SYC,0.756404340267181,Lower Income
Sierra Leone,SLE,-0.0895016714930534,Lower Income
Singapore,SGP,1.45994246006012,Upper Income
Slovakia,SVK,0.44343426823616,Upper Income
Slovenia,SVN,0.706639647483826,Upper Income
Solomon Islands,SLB,0.379514664411545,Lower Income
Somalia,SOM,-2.48343443870544,Lower Income
South Africa,ZAF,-0.722118079662323,Lower Income
South Sudan,SSD,-2.21005392074585,Lower Income
Spain,ESP,0.265326976776123,Upper Income
Sri Lanka,LKA,-0.785569846630096,Lower Income
Saint Kitts and Nevis,KNA,0.94386225938797,Upper Income
Saint Lucia,LCA,0.869225919246674,Lower Income
Saint Vincent and the Grenadines,VCT,1.04379844665527,Lower Income
Sudan,SDN,-1.99889421463013,Lower Income
Suriname,SUR,0.39629203081131,Lower Income
Sweden,SWE,0.902623057365417,Upper Income
Switzerland,CHE,1.16113972663879,Upper Income
Syria,SYR,-2.79725193977356,Lower Income
Taiwan,TWN,0.754162132740021,Lower Income
Tajikistan,TJK,-0.694840013980865,Lower Income
Tanzania,TZA,-0.265859961509705,Lower Income
Thailand,THA,-0.383099317550659,Lower Income
Timor-Leste,TLS,0.27340030670166,Lower Income
Togo,TGO,-0.711050152778625,Lower Income
Tonga,TON,1.11424672603607,Lower Income
Trinidad and Tobago,TTO,0.357974648475647,Upper Income
Tunisia,TUN,-0.596295177936554,Lower Income
Turkey,TUR,-1.03986501693726,Lower Income
Turkmenistan,TKM,-0.100280806422234,Lower Income
Tuvalu,TUV,1.18453228473663,Lower Income
Uganda,UGA,-0.807034194469452,Lower Income
Ukraine,UKR,-1.99760496616364,Lower Income
United Arab Emirates,ARE,0.700785338878632,Upper Income
United Kingdom,GBR,0.503939092159271,Upper Income
United States,USA,-0.0360050275921822,Upper Income
Uruguay,URY,1.09546458721161,Upper Income
Uzbekistan,UZB,-0.196214869618416,Lower Income
Vanuatu,VUT,0.949675500392914,Lower Income
Venezuela,VEN,-1.25646221637726,Upper Income
Vietnam,VNM,-0.0305646620690823,Lower Income
Yemen,YEM,-2.47688031196594,Lower Income
Zambia,ZMB,0.102313563227654,Lower Income
Zimbabwe,ZWE,-0.884499907493591,Lower Income
