Country,TIME,Value
Bosnia and Herzegovina,2018,458.03728
Bosnia and Herzegovina,2019,449.22435
Bosnia and Herzegovina,2020,443.8526
Bosnia and Herzegovina,2021,442.83083
Bosnia and Herzegovina,2022,535.00491
Chile,2016,500.26783
Chile,2017,499.76146
Chile,2018,529.07151
Chile,2019,512.46593
Chile,2020,518.66667
China,2016,1210.74113
China,2017,1237.74195
China,2018,1319.35596
China,2019,1485.81754
China,2020,1601.92217
China,2021,1687.05679
Indonesia,2016,179.60322
Indonesia,2017,216.37348
Indonesia,2018,217.51867
Indonesia,2019,391.34138
Indonesia,2020,399.60761
Iran (Islamic Republic of),2017,1417.97595
Iran (Islamic Republic of),2019,1597.33931
Iraq,2016,61.98544
Iraq,2017,101.61423
Iraq,2018,106.5256
Iraq,2019,117.28555
Iraq,2020,135.29593
Iraq,2021,162.45588
Kenya,2022,169.27141
Mali,2017,32.0137
Mali,2019,56.61281
Mali,2021,29.31642
Morocco,2016,1080.70684
Nigeria,2019,22.82526
Sri Lanka,2016,105.03859
Sri Lanka,2017,104.71218
Sri Lanka,2018,104.06004
Sri Lanka,2020,104.55117
Togo,2016,31.93673
Togo,2017,38.46865
Togo,2018,47.6891
Togo,2019,46.49953
Togo,2020,45.29121
Togo,2021,44.86637
Togo,2022,44.39714
Viet Nam,2017,715.4071
Viet Nam,2019,765.51782
Viet Nam,2021,779.30847
Kazakhstan,2016,688.84224
Kazakhstan,2017,661.72592
Kazakhstan,2018,662.98622
Kazakhstan,2019,633.65202
Kazakhstan,2020,686.17575
Kazakhstan,2021,626.47176
Kazakhstan,2022,681.50598
Gambia,2018,49.97694
Montenegro,2016,708.58413
Montenegro,2017,696.82667
Montenegro,2018,757.903
Montenegro,2019,743.38011
Oman,2016,249.89385
Oman,2017,251.47211
Oman,2018,296.09371
Oman,2019,382.4452
Oman,2020,372.68235
Oman,2021,330.34504
Oman,2022,381.76595
Uzbekistan,2016,509.89434
Uzbekistan,2017,499.59238
Uzbekistan,2018,480.43229
Uzbekistan,2019,421.46492
Uzbekistan,2020,426.82076
Uzbekistan,2021,525.33211
Uzbekistan,2022,547.49145
Angola,2016,18.9549
Mauritius,2018,463.61583
Mauritius,2019,540.26017
Mauritius,2020,552.95846
Mauritius,2021,556.9283
Mauritius,2022,569.00982
Georgia,2016,1391.42457
Georgia,2017,1389.60565
Georgia,2018,1553.30612
Georgia,2019,1799.87186
Georgia,2020,1812.39011
Georgia,2021,1717.37086
Georgia,2022,1823.0265
Qatar,2018,584.50501
Qatar,2021,982.50091
Latin America and the Caribbean,2016,575.77973
Latin America and the Caribbean,2017,583.65112
Latin America and the Caribbean,2018,605.14232
Latin America and the Caribbean,2019,608.82277
Latin America and the Caribbean,2020,623.4793
Latin America and the Caribbean,2021,625.3635
South and West Asia,2016,251.50944
South and West Asia,2017,277.29272
South and West Asia,2018,292.84363
South and West Asia,2019,303.18463
South and West Asia,2020,308.94516
South and West Asia,2021,311.19348
Sub-Saharan Africa,2016,94.74362
Sub-Saharan Africa,2017,97.98991
Sub-Saharan Africa,2018,97.60634
Sub-Saharan Africa,2019,96.68346
Sub-Saharan Africa,2020,95.0988
Sub-Saharan Africa,2021,94.37717
East Asia and the Pacific,2016,1479.00023
East Asia and the Pacific,2017,1515.86346
East Asia and the Pacific,2018,1590.51329
East Asia and the Pacific,2019,1715.81471
East Asia and the Pacific,2020,1793.7816
East Asia and the Pacific,2021,1851.08244
North America and Western Europe,2016,4097.89816
North America and Western Europe,2017,4230.15237
North America and Western Europe,2018,4451.29541
North America and Western Europe,2019,4559.51401
North America and Western Europe,2020,4651.79884
North America and Western Europe,2021,4745.77224
Central and Eastern Europe,2016,2083.19801
Central and Eastern Europe,2017,2134.5507
Central and Eastern Europe,2018,2200.20097
Central and Eastern Europe,2019,2219.27529
Central and Eastern Europe,2020,2266.2489
Central and Eastern Europe,2021,2332.30779
Central Asia,2016,606.66233
Central Asia,2017,585.47429
Central Asia,2018,580.41054
Central Asia,2019,628.26189
Central Asia,2020,641.50829
Central Asia,2021,662.43347
Arab States,2016,564.964
Arab States,2017,569.15745
Arab States,2018,567.39362
Arab States,2019,599.67075
Arab States,2020,601.92507
Arab States,2021,629.79235
World,2016,1164.61254
World,2017,1195.1174
World,2018,1244.70302
World,2019,1294.48198
World,2020,1326.85573
World,2021,1352.49955
El Salvador,2016,66.97769
El Salvador,2017,65.01456
El Salvador,2018,72.8499
El Salvador,2019,75.00583
El Salvador,2020,59.22697
El Salvador,2021,64.71527
United Arab Emirates,2016,2490.70229
United Arab Emirates,2018,2516.4252
United Arab Emirates,2019,2536.50717
United Arab Emirates,2020,2612.33265
United Arab Emirates,2021,2666.01537
Central Asia,2016,481.14119
Central Asia,2017,465.84162
Central Asia,2018,458.58299
Central Asia,2019,424.85232
Central Asia,2020,442.38405
Central Asia,2021,471.52427
Oceania,2016,3456.98512
Oceania,2017,3421.9255
Oceania,2018,3445.07712
Oceania,2019,3441.25398
Oceania,2020,3367.78399
Oceania,2021,3324.46003
Northern Africa,2016,714.26756
Northern Africa,2017,714.65917
Northern Africa,2018,710.3854
Northern Africa,2019,762.48852
Northern Africa,2020,762.88415
Northern Africa,2021,766.75351
Eastern Asia,2016,1742.15512
Eastern Asia,2017,1784.70414
Eastern Asia,2018,1872.64045
Eastern Asia,2019,2034.14384
Eastern Asia,2020,2149.93653
Eastern Asia,2021,2249.9251
World,2016,1164.61254
World,2017,1195.1174
World,2018,1244.70302
World,2019,1294.48198
World,2020,1326.85573
World,2021,1352.49955
Western Asia,2016,924.44124
Western Asia,2017,963.44066
Western Asia,2018,1011.50598
Western Asia,2019,1066.91751
Western Asia,2020,1114.19897
Western Asia,2021,1215.38326
Small Island Developing States,2016,865.02168
Small Island Developing States,2017,857.13231
Small Island Developing States,2018,863.48188
Small Island Developing States,2019,908.88323
Small Island Developing States,2020,934.19939
Small Island Developing States,2021,931.17145
Sub-Saharan Africa,2016,95.63452
Sub-Saharan Africa,2017,99.07435
Sub-Saharan Africa,2018,98.90001
Sub-Saharan Africa,2019,97.98225
Sub-Saharan Africa,2020,96.40406
Sub-Saharan Africa,2021,95.68491
Middle income countries,2016,656.43771
Middle income countries,2017,671.92402
Middle income countries,2018,703.62153
Middle income countries,2019,752.65724
Middle income countries,2020,782.40826
Middle income countries,2021,798.10677
Southern Asia,2016,251.50944
Southern Asia,2017,277.29272
Southern Asia,2018,292.84363
Southern Asia,2019,303.18463
Southern Asia,2020,308.94516
Southern Asia,2021,311.19348
Europe and Northern America,2016,3536.44671
Europe and Northern America,2017,3643.60585
Europe and Northern America,2018,3816.5247
Europe and Northern America,2019,3896.47142
Europe and Northern America,2020,3971.22555
Europe and Northern America,2021,4049.7192
South-Eastern Asia,2016,713.19901
South-Eastern Asia,2017,743.26361
South-Eastern Asia,2018,791.29329
South-Eastern Asia,2019,841.03435
South-Eastern Asia,2020,842.74151
South-Eastern Asia,2021,812.07631
Landlocked Developing Countries,2016,158.78502
Landlocked Developing Countries,2017,158.15916
Landlocked Developing Countries,2018,157.02849
Landlocked Developing Countries,2019,164.78766
Landlocked Developing Countries,2020,166.02706
Landlocked Developing Countries,2021,169.34228
Europe,2016,3364.81231
Europe,2017,3464.79641
Europe,2018,3572.60203
Europe,2019,3662.84499
Europe,2020,3700.01547
Europe,2021,3816.56734
Low income countries,2016,165.19514
Low income countries,2017,170.43873
Low income countries,2018,174.51142
Low income countries,2019,176.76931
Low income countries,2020,176.03152
Low income countries,2021,176.19841
Least Developed Countries,2016,67.45107
Least Developed Countries,2017,70.28555
Least Developed Countries,2018,72.01722
Least Developed Countries,2019,72.63639
Least Developed Countries,2020,73.21338
Least Developed Countries,2021,72.47363
Australia and New Zealand,2016,4856.40059
Australia and New Zealand,2017,4812.07203
Australia and New Zealand,2018,4850.1384
Australia and New Zealand,2019,4848.78832
Australia and New Zealand,2020,4746.72045
Australia and New Zealand,2021,4695.85642
Upper middle income countries,2016,1056.44277
Upper middle income countries,2017,1073.73363
Upper middle income countries,2018,1131.23596
Upper middle income countries,2019,1227.75776
Upper middle income countries,2020,1290.77707
Upper middle income countries,2021,1327.73922
Northern Africa and Western Asia,2016,827.05696
Northern Africa and Western Asia,2017,848.00944
Northern Africa and Western Asia,2018,871.41144
Northern Africa and Western Asia,2019,925.13991
Northern Africa and Western Asia,2020,950.42232
Northern Africa and Western Asia,2021,1005.26919
Small Island Developing States,2016,831.54331
Small Island Developing States,2017,824.98939
Small Island Developing States,2018,831.76129
Small Island Developing States,2019,875.01595
Small Island Developing States,2020,899.32435
Small Island Developing States,2021,896.93722
Eastern and South-Eastern Asia,2016,1442.08631
Eastern and South-Eastern Asia,2017,1479.83792
Eastern and South-Eastern Asia,2018,1554.95594
Eastern and South-Eastern Asia,2019,1682.00999
Eastern and South-Eastern Asia,2020,1762.23808
Eastern and South-Eastern Asia,2021,1821.08458
High income countries,2016,4012.11356
High income countries,2017,4150.19862
High income countries,2018,4332.22794
High income countries,2019,4435.99109
High income countries,2020,4525.29044
High income countries,2021,4650.31329
Latin America and the Caribbean,2016,575.76925
Latin America and the Caribbean,2017,583.63985
Latin America and the Caribbean,2018,605.13041
Latin America and the Caribbean,2019,608.8138
Latin America and the Caribbean,2020,623.47127
Latin America and the Caribbean,2021,625.35588
Central and Southern Asia,2016,259.75119
Central and Southern Asia,2017,284.08643
Central and Southern Asia,2018,298.83612
Central and Southern Asia,2019,307.60152
Central and Southern Asia,2020,313.81061
Central and Southern Asia,2021,317.06809
Northern America ,2016,3888.67315
Northern America ,2017,4008.06111
Northern America ,2018,4310.37676
Northern America ,2019,4366.53201
Northern America ,2020,4513.68419
Northern America ,2021,4513.88898
Lower middle income countries,2016,282.35026
Lower middle income countries,2017,298.89992
Lower middle income countries,2018,309.5275
Lower middle income countries,2019,318.34449
Lower middle income countries,2020,321.51138
Lower middle income countries,2021,322.50614
Papua New Guinea,2016,33.39192
Honduras,2017,34.2629
Honduras,2018,201.23932
Honduras,2019,187.42656
Chad,2016,58.7568
Syrian Arab Republic,2022,142.01291
Trinidad and Tobago,2017,485.81699
Trinidad and Tobago,2018,531.20922
Trinidad and Tobago,2019,449.53834
Trinidad and Tobago,2020,590.52778
Trinidad and Tobago,2021,525.48815
Burundi,2018,23.19512
Azerbaijan,2019,1694.46991
Azerbaijan,2020,1712.16743
Azerbaijan,2021,1728.76393
Azerbaijan,2022,1690.6737
Belarus,2020,1433.59248
Belarus,2021,1393.54477
Belarus,2022,1381.79486
Mongolia,2020,332.19112
Mongolia,2021,680.27068
Mongolia,2022,533.64037
Saudi Arabia,2020,435.44058
Saudi Arabia,2021,692.33959
Saudi Arabia,2022,834.80573
Armenia,2022,1219.93327
